2025-04-01T20:06:16.4890824+00:00: 135.0.7049.42
2025-04-08T20:05:49.5553151+00:00: 135.0.7049.84
2025-04-16T00:22:20.5504082+00:00: 135.0.7049.95
2025-04-23T00:22:22.4312102+00:00: 135.0.7049.97
2025-04-24T00:22:26.6188734+00:00: 135.0.7049.114
2025-04-29T20:05:57.5192782+00:00: 136.0.7103.49
2025-05-06T20:06:00.5130914+00:00: 136.0.7103.92
2025-05-14T20:05:43.9730641+00:00: 136.0.7103.94
2025-05-21T20:05:57.1597544+00:00: 136.0.7103.113
2025-05-27T20:06:12.3038716+00:00: 137.0.7151.55
2025-06-03T00:23:51.6327575+00:00: 137.0.7151.68
2025-06-10T20:06:08.2318759+00:00: 137.0.7151.70
2025-06-17T20:06:27.5656437+00:00: 137.0.7151.119
2025-06-24T20:05:57.0547666+00:00: 138.0.7204.49
2025-07-01T00:27:28.5653525+00:00: 138.0.7204.92
2025-07-08T20:05:50.9119684+00:00: 138.0.7204.94
2025-07-15T20:06:36.6991567+00:00: 138.0.7204.157
2025-07-23T00:25:13.5283939+00:00: 138.0.7204.168
2025-07-30T00:25:45.2090266+00:00: 138.0.7204.183
2025-08-05T20:06:15.5104518+00:00: 139.0.7258.66
2025-08-13T00:24:18.4159519+00:00: 139.0.7258.68
2025-08-20T00:22:39.0113084+00:00: 139.0.7258.138
2025-08-26T20:05:45.4963195+00:00: 139.0.7258.154
2025-09-03T00:21:16.6599381+00:00: 140.0.7339.80
2025-09-10T00:21:57.9759512+00:00: 140.0.7339.82
2025-09-18T04:06:32.0041652+00:00: 140.0.7339.185
2025-09-23T20:05:51.0396586+00:00: 140.0.7339.207
2025-10-01T00:26:00.4669482+00:00: 141.0.7390.54
2025-10-08T00:22:09.4645409+00:00: 141.0.7390.65
2025-10-10T00:22:42.1645377+00:00: 141.0.7390.76
2025-10-15T00:22:57.3817174+00:00: 141.0.7390.78
2025-10-22T00:23:22.4293768+00:00: 141.0.7390.122
2025-10-29T00:23:48.5522479+00:00: 142.0.7444.59
2025-11-06T00:23:35.2972788+00:00: 142.0.7444.61
2025-11-11T20:06:32.7879724+00:00: 142.0.7444.162
2025-11-18T00:23:43.9125606+00:00: 142.0.7444.175
2025-12-02T20:06:48.0990378+00:00: 143.0.7499.40
2025-12-10T20:06:52.1175858+00:00: 143.0.7499.42
2025-12-17T00:24:29.8869168+00:00: 143.0.7499.146
2025-12-19T00:25:24.0265346+00:00: 143.0.7499.169
2026-01-07T00:24:35.3841413+00:00: 143.0.7499.192
2026-01-20T16:10:10.6100071+00:00: 144.0.7559.59
2026-01-21T00:26:47.7484554+00:00: 144.0.7559.96
2026-01-28T00:26:31.1397643+00:00: 144.0.7559.109
2026-01-29T00:29:59.5338316+00:00: 145.0.7632.26
2026-02-04T00:29:23.4811922+00:00: 144.0.7559.133
2026-02-04T20:10:45.9978644+00:00: 145.0.7632.46
2026-02-13T00:34:41.1949413+00:00: 145.0.7632.67
